,users,component,instances,RAM,CPU,STORAGE,technology
0,505,nginx,1,18,14,288,iaas
1,505,framework,1,33,9,602.5,iaas
2,505,rel_db,1,25,9,102.5,iaas
3,472,nginx,1,18,14,288,iaas
4,472,framework,1,33,9,602.5,iaas
5,472,rel_db,1,25,9,102.5,iaas
6,813,nginx,1,18,14,288,iaas
7,813,framework,1,33,9,602.5,iaas
8,813,rel_db,1,25,9,102.5,iaas
9,69,nginx,1,18,14,288,iaas
10,69,framework,1,33,9,602.5,iaas
11,69,rel_db,1,25,9,102.5,iaas
12,275,nginx,1,18,14,288,iaas
13,275,framework,1,33,9,602.5,iaas
14,275,rel_db,1,25,9,102.5,iaas
15,72,nginx,1,18,14,288,iaas
16,72,framework,1,33,9,602.5,iaas
17,72,rel_db,1,25,9,102.5,iaas
18,212,nginx,1,18,14,288,iaas
19,212,framework,1,33,9,602.5,iaas
20,212,rel_db,1,25,9,102.5,iaas
21,372,nginx,1,18,14,288,iaas
22,372,framework,1,33,9,602.5,iaas
23,372,rel_db,1,25,9,102.5,iaas
24,929,nginx,1,18,14,288,iaas
25,929,framework,1,33,9,602.5,iaas
26,929,rel_db,1,25,9,102.5,iaas
27,352,nginx,1,18,14,288,iaas
28,352,framework,1,33,9,602.5,iaas
29,352,rel_db,1,25,9,102.5,iaas
30,546,nginx,1,18,14,288,iaas
31,546,framework,1,33,9,602.5,iaas
32,546,rel_db,1,25,9,102.5,iaas
33,594,nginx,1,18,14,288,iaas
34,594,framework,1,33,9,602.5,iaas
35,594,rel_db,1,25,9,102.5,iaas
36,373,nginx,1,18,14,288,iaas
37,373,framework,1,33,9,602.5,iaas
38,373,rel_db,1,25,9,102.5,iaas
39,808,nginx,1,18,14,288,iaas
40,808,framework,1,33,9,602.5,iaas
41,808,rel_db,1,25,9,102.5,iaas
42,227,nginx,1,18,14,288,iaas
43,227,framework,1,33,9,602.5,iaas
44,227,rel_db,1,25,9,102.5,iaas
45,666,nginx,1,18,14,288,iaas
46,666,framework,1,33,9,602.5,iaas
47,666,rel_db,1,25,9,102.5,iaas
48,359,nginx,1,18,14,288,iaas
49,359,framework,1,33,9,602.5,iaas
50,359,rel_db,1,25,9,102.5,iaas
51,379,nginx,1,18,14,288,iaas
52,379,framework,1,33,9,602.5,iaas
53,379,rel_db,1,25,9,102.5,iaas
54,649,nginx,1,18,14,288,iaas
55,649,framework,1,33,9,602.5,iaas
56,649,rel_db,1,25,9,102.5,iaas
57,355,nginx,1,18,14,288,iaas
58,355,framework,1,33,9,602.5,iaas
59,355,rel_db,1,25,9,102.5,iaas
60,729,nginx,1,18,14,288,iaas
61,729,framework,1,33,9,602.5,iaas
62,729,rel_db,1,25,9,102.5,iaas
63,623,nginx,1,18,14,288,iaas
64,623,framework,1,33,9,602.5,iaas
65,623,rel_db,1,25,9,102.5,iaas
66,339,nginx,1,18,14,288,iaas
67,339,framework,1,33,9,602.5,iaas
68,339,rel_db,1,25,9,102.5,iaas
69,467,nginx,1,18,14,288,iaas
