,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
0,-0.785104,0.01259627,0.075993225,0.27330306,0.20818226,1.0438796
1,-0.7851352,0.012603444,0.075989276,0.27333006,0.2081736,1.0438784
2,-0.7851345,0.012603492,0.07599097,0.27333006,0.20817406,1.0438809
3,-0.7851348,0.012601544,0.07599015,0.2733297,0.2081725,1.0438806
4,-0.78513473,0.012602396,0.07599025,0.27332965,0.20817284,1.0438809
5,-0.78513473,0.012602029,0.07599011,0.27332982,0.20817299,1.0438806
6,-0.7851344,0.012599818,0.07599701,0.27333155,0.20817155,1.043878
7,-0.78513473,0.012603294,0.07598853,0.2733297,0.20817444,1.0438814
8,-0.7851347,0.012602564,0.075990416,0.2733298,0.20817313,1.0438809
9,-0.7851347,0.012602564,0.075990416,0.2733298,0.20817313,1.0438809
10,-0.7851347,0.012602564,0.075990416,0.2733298,0.20817313,1.0438809
11,-0.7851347,0.012602564,0.075990416,0.2733298,0.20817313,1.0438809
12,-0.7851347,0.012602564,0.075990416,0.2733298,0.20817313,1.0438809
13,-0.7851347,0.012602564,0.075990416,0.2733298,0.20817313,1.0438809
14,-0.7851347,0.012602564,0.075990416,0.2733298,0.20817313,1.0438809
15,-0.7851347,0.012602564,0.075990416,0.2733298,0.20817313,1.0438809
16,-0.34168604,0.024398923,0.013015577,0.3878477,0.13324003,1.0469397
17,-0.34168604,0.024398923,0.013015577,0.3878477,0.13324003,1.0469397
18,-0.34168604,0.024398923,0.013015577,0.3878477,0.13324003,1.0469397
19,-0.34168604,0.024398923,0.013015577,0.3878477,0.13324003,1.0469397
20,-0.34168604,0.024398923,0.013015577,0.3878477,0.13324003,1.0469397
21,-0.34168604,0.024398923,0.013015577,0.3878477,0.13324003,1.0469397
22,-0.34168604,0.024398923,0.013015577,0.3878477,0.13324003,1.0469397
23,0.5534347,-0.24087816,0.1601867,-0.39697182,0.46422762,1.0740706
24,-0.34168604,0.024398923,0.013015577,0.3878477,0.13324003,1.0469397
25,-0.7851347,0.012602564,0.075990416,0.2733298,0.20817313,1.0438809
26,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
27,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
28,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
29,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
30,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
31,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
32,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
33,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
34,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
35,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
36,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
37,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
38,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
39,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
40,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
41,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
42,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
43,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
44,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
45,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
46,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
47,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
48,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
49,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
50,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
51,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
52,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
53,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
