,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
0,-1.2229394,0.08205469,0.08984318,0.28591108,-0.18257172,0.95972097,-0.25807714
1,-1.222942,0.08205379,0.089845754,0.28591138,-0.18257347,0.9597193,-0.25807682
2,-1.2229419,0.08205484,0.08984568,0.28591177,-0.1825741,0.95971996,-0.25807703
3,-1.2229419,0.08205353,0.08984465,0.28591225,-0.18257411,0.9597203,-0.25807685
4,-1.2229421,0.082054,0.08984583,0.2859101,-0.18257375,0.95971966,-0.25807717
5,-1.2229421,0.08205342,0.089846134,0.28591093,-0.18257278,0.9597198,-0.2580771
6,-1.222942,0.08205382,0.089844964,0.2859117,-0.18257408,0.9597195,-0.25807717
7,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
8,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
9,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
10,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
11,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
12,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
13,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
14,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
15,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
16,-0.8331887,0.03038085,0.19123794,0.275112,-0.24883705,0.9657139,-0.25665134
17,-0.8331887,0.03038085,0.19123794,0.275112,-0.24883705,0.9657139,-0.25665134
18,-0.8331887,0.03038085,0.19123794,0.275112,-0.24883705,0.9657139,-0.25665134
19,-0.8331887,0.03038085,0.19123794,0.275112,-0.24883705,0.9657139,-0.25665134
20,-0.8331887,0.03038085,0.19123794,0.275112,-0.24883705,0.9657139,-0.25665134
21,-0.8331887,0.03038085,0.19123794,0.275112,-0.24883705,0.9657139,-0.25665134
22,-0.8331887,0.03038085,0.19123794,0.275112,-0.24883705,0.9657139,-0.25665134
23,-0.035674874,0.4005163,-0.27172732,0.08896366,0.2551134,1.0486449,-0.2733754
24,-0.8331887,0.03038085,0.19123794,0.275112,-0.24883705,0.9657139,-0.25665134
25,-1.2229419,0.082053594,0.08984517,0.28591144,-0.18257378,0.9597197,-0.25807709
26,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
27,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
28,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
29,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
30,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
31,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
32,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
33,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
34,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
35,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
36,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
37,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
38,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
39,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
40,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
41,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
42,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
43,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
44,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
45,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
46,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
47,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
48,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
49,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
50,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
51,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
52,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
53,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
54,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
55,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
56,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
57,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
58,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
59,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
60,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
61,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
62,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
63,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
64,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
65,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
66,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
67,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
68,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
69,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
70,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
71,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
72,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
73,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
74,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
75,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
76,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
77,-1.3765978,-0.6523766,-0.35343724,-0.017701328,0.04738622,-0.07723245,-0.008029022
78,-1.1817209,-0.67821306,-0.3027409,-0.023101073,0.014254587,-0.07423532,-0.0073161633
79,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
80,-0.012460926,-0.8332312,0.0014375701,-0.05549939,-0.18453535,-0.056252535,-0.0030389454
81,0.5192149,-0.5864742,-0.30720595,-0.17959829,0.15143162,-0.0009652148,-0.014188337
82,1.5825669,-0.09296025,-0.92449313,-0.42779619,0.8233656,0.10960944,-0.03648712
83,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
84,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
85,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
86,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
87,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
88,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
89,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
90,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
91,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
92,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
93,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
94,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
95,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
96,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
97,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
98,-0.7919677,-0.72988564,-0.20134807,-0.033900503,-0.052008703,-0.06824107,-0.005890425
99,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
100,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
101,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
102,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
