,Component_1,Component_2
0,-1.1845094,0.12421077
1,-1.1845196,0.124223925
2,-1.1845206,0.124224864
3,-1.1845206,0.124224864
4,-1.1845206,0.124224864
5,-1.1845206,0.124224864
6,-1.1845206,0.124224864
7,-1.1845206,0.124224864
8,-1.1845206,0.124224864
9,-1.1845206,0.124224864
10,-1.1845206,0.124224864
11,-1.1845206,0.124224864
12,-1.1845206,0.124224864
13,-1.1845206,0.124224864
14,-1.1845206,0.124224864
15,-1.1845206,0.124224864
16,-0.78772444,0.2502386
17,-0.78772444,0.2502386
18,-0.78772444,0.2502386
19,-0.78772444,0.2502386
20,-0.78772444,0.2502386
21,-0.78772444,0.2502386
22,-0.78772444,0.2502386
23,0.024622988,-0.56210923
24,-0.78772444,0.2502386
25,-1.1845206,0.124224864
26,-1.3152232,-0.00647767
27,-1.3152232,-0.00647767
28,-1.3152232,-0.00647767
29,-1.3152232,-0.00647767
30,-1.3152232,-0.00647767
31,-1.3152232,-0.00647767
32,-1.3152232,-0.00647767
33,-1.3152232,-0.00647767
34,-1.3152232,-0.00647767
35,-1.3152232,-0.00647767
36,-1.3152232,-0.00647767
37,-1.3152232,-0.00647767
38,-1.3152232,-0.00647767
39,-1.3152232,-0.00647767
40,-1.3152232,-0.00647767
41,-1.3152232,-0.00647767
42,-1.3152232,-0.00647767
43,-1.3152232,-0.00647767
44,-1.3152232,-0.00647767
45,-1.3152232,-0.00647767
46,-1.3152232,-0.00647767
47,-1.3152232,-0.00647767
48,-1.3152232,-0.00647767
49,-1.3152232,-0.00647767
50,1.5930529,1.0063208
51,1.5930529,1.0063208
52,1.5930529,1.0063208
53,1.5930529,1.0063208
54,1.5930529,1.0063208
55,1.5930529,1.0063208
56,1.5930529,1.0063208
57,1.5930529,1.0063208
58,1.5930529,1.0063208
59,1.5930529,1.0063208
60,1.5930529,1.0063208
61,1.5930529,1.0063208
62,1.5930529,1.0063208
63,1.5930529,1.0063208
64,-0.516942,-0.020544022
65,-0.516942,-0.020544022
66,-0.516942,-0.020544022
67,-0.516942,-0.020544022
68,-0.516942,-0.020544022
69,-0.516942,-0.020544022
70,-0.516942,-0.020544022
71,-0.516942,-0.020544022
72,-0.516942,-0.020544022
73,-0.516942,-0.020544022
74,-0.516942,-0.020544022
75,-0.516942,-0.020544022
76,-1.3152232,-0.00647767
77,-1.3829188,0.06121802
78,-1.1845206,0.124224864
