,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
0,-1.1979213,-0.0025735502,-0.026857302,0.35708526,-0.21783419,0.9771776,-0.13588911
1,-1.1979316,-0.0025799111,-0.0268481,0.35708904,-0.21784028,0.97717625,-0.13588956
2,-1.1979326,-0.0025805554,-0.02684896,0.35708967,-0.21784216,0.9771767,-0.1358891
3,-1.1979328,-0.0025801389,-0.026847363,0.35708797,-0.21784152,0.97717714,-0.13588917
4,-1.1979326,-0.0025792122,-0.02684885,0.35708964,-0.21784303,0.97717685,-0.13588923
5,-1.1979327,-0.0025788553,-0.02684849,0.35708955,-0.2178429,0.9771765,-0.13588941
6,-1.1979325,-0.0025792161,-0.026848631,0.35709268,-0.21784134,0.9771758,-0.13589
7,-1.1979325,-0.0025785048,-0.02684997,0.3570906,-0.21784423,0.9771758,-0.13588978
8,-1.1979326,-0.0025792334,-0.026848555,0.3570899,-0.21784258,0.9771767,-0.13588914
9,-1.1979326,-0.0025792334,-0.026848555,0.3570899,-0.21784258,0.9771767,-0.13588914
10,-1.1979326,-0.0025792334,-0.026848555,0.3570899,-0.21784258,0.9771767,-0.13588914
11,-1.1979326,-0.0025792334,-0.026848555,0.3570899,-0.21784258,0.9771767,-0.13588914
12,-1.1979326,-0.0025792334,-0.026848555,0.3570899,-0.21784258,0.9771767,-0.13588914
13,-1.1979326,-0.0025792334,-0.026848555,0.3570899,-0.21784258,0.9771767,-0.13588914
14,-1.1979326,-0.0025792334,-0.026848555,0.3570899,-0.21784258,0.9771767,-0.13588914
15,-1.1979326,-0.0025792334,-0.026848555,0.3570899,-0.21784258,0.9771767,-0.13588914
16,-0.8040724,-0.040258307,0.08638712,0.36412382,-0.28018436,0.9817661,-0.13460015
17,-0.8040724,-0.040258307,0.08638712,0.36412382,-0.28018436,0.9817661,-0.13460015
18,-0.8040724,-0.040258307,0.08638712,0.36412382,-0.28018436,0.9817661,-0.13460015
19,-0.8040724,-0.040258307,0.08638712,0.36412382,-0.28018436,0.9817661,-0.13460015
20,-0.8040724,-0.040258307,0.08638712,0.36412382,-0.28018436,0.9817661,-0.13460015
21,-0.8040724,-0.040258307,0.08638712,0.36412382,-0.28018436,0.9817661,-0.13460015
22,-0.8040724,-0.040258307,0.08638712,0.36412382,-0.28018436,0.9817661,-0.13460015
23,0.0028786934,0.33250695,-0.36835748,0.10323797,0.2156227,1.0765005,-0.14096393
24,-0.8040724,-0.040258307,0.08638712,0.36412382,-0.28018436,0.9817661,-0.13460015
25,-1.1979326,-0.0025792334,-0.026848555,0.3570899,-0.21784258,0.9771767,-0.13588914
26,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
27,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
28,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
29,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
30,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
31,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
32,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
33,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
34,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
35,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
36,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
37,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
38,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
39,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
40,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
41,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
42,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
43,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
44,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
45,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
46,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
47,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
48,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
49,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
50,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
51,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
52,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
53,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
54,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
55,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
56,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
57,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
58,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
59,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
60,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
61,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
62,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
63,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
64,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
65,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
66,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
67,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
68,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
69,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
70,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
71,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
72,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
73,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
74,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
75,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
76,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
77,-1.3474526,-0.72228044,-0.29658282,-0.13221492,0.04259471,-0.07520851,-0.011445937
78,-1.1505225,-0.7411201,-0.23996505,-0.12869798,0.011423872,-0.07291375,-0.010801429
79,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
80,0.031058392,-0.8541572,0.09974194,-0.10759624,-0.1756013,-0.059145264,-0.0069343834
81,0.5690257,-0.605647,-0.20342106,-0.28152016,0.1549367,0.0040107397,-0.011176925
82,1.6449602,-0.10862653,-0.8097469,-0.629368,0.8160128,0.13032277,-0.01966199
83,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
