,CPU,RAM
0,-0.33333334,-0.5
1,-0.33333334,-0.5
2,-0.33333334,-0.5
3,-0.33333334,-0.5
4,-0.33333334,-0.5
5,-0.33333334,-0.5
6,-0.33333334,-0.5
7,-0.33333334,-0.5
8,-0.33333334,-0.5
9,-0.33333334,-0.5
10,-0.33333334,-0.5
11,-0.33333334,-0.5
12,-0.33333334,-0.5
13,-0.33333334,-0.5
14,-0.33333334,-0.5
15,-0.33333334,-0.5
16,0.0,-0.33333334
17,0.0,-0.33333334
18,0.0,-0.33333334
19,0.0,-0.33333334
20,0.0,-0.33333334
21,0.0,-0.33333334
22,0.0,-0.33333334
23,0.0,0.6666667
24,0.0,-0.33333334
25,-0.33333334,-0.5
26,-0.5,-0.5
27,-0.5,-0.5
28,-0.5,-0.5
29,-0.5,-0.5
30,-0.5,-0.5
31,-0.5,-0.5
32,-0.5,-0.5
33,-0.5,-0.5
34,-0.5,-0.5
35,-0.5,-0.5
36,-0.5,-0.5
37,-0.5,-0.5
38,-0.5,-0.5
39,-0.5,-0.5
40,-0.5,-0.5
41,-0.5,-0.5
42,-0.5,-0.5
43,-0.5,-0.5
44,-0.5,-0.5
45,-0.5,-0.5
46,-0.5,-0.5
47,-0.5,-0.5
48,-0.5,-0.5
49,-0.5,-0.5
50,2.0,0.6666667
51,2.0,0.6666667
52,2.0,0.6666667
53,2.0,0.6666667
54,2.0,0.6666667
55,2.0,0.6666667
56,2.0,0.6666667
57,2.0,0.6666667
58,2.0,0.6666667
59,2.0,0.6666667
60,2.0,0.6666667
61,2.0,0.6666667
62,2.0,0.6666667
63,2.0,0.6666667
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,-0.5,-0.5
77,-0.5,-0.5833333
78,-0.33333334,-0.5
79,-0.33333334,-0.33333334
80,0.6666667,0.0
81,0.6666667,0.6666667
82,0.6666667,2.0
83,2.0,0.6666667
84,2.0,2.0
85,2.0,2.0
86,0.33333334,0.33333334
87,0.33333334,0.33333334
88,0.33333334,0.33333334
89,0.33333334,0.33333334
90,0.33333334,0.33333334
91,0.33333334,0.33333334
92,0.33333334,0.33333334
93,0.33333334,0.33333334
94,0.33333334,0.33333334
95,0.33333334,0.33333334
96,-0.5,-0.5
97,-0.33333334,-0.33333334
98,0.0,-0.33333334
99,0.0,0.0
100,0.33333334,0.33333334
101,0.33333334,0.33333334
102,2.0,0.6666667
103,2.0,2.0
104,-0.33333334,-0.33333334
105,-0.33333334,-0.33333334
106,2.0,2.0
107,2.0,2.0
108,2.0,2.0
109,2.0,2.0
110,2.0,2.0
111,2.0,2.0
112,2.0,2.0
113,2.0,2.0
