,Component_1,Component_2
0,-1.1845092,0.12421057
1,-1.1845196,0.124223925
2,-1.1845206,0.124224864
3,-1.1845206,0.124224864
4,-1.1845206,0.124224864
5,-1.1845206,0.124224864
6,-1.1845206,0.124224864
7,-1.1845206,0.124224864
8,-1.1845206,0.124224864
9,-1.1845206,0.124224864
10,-1.1845206,0.124224864
11,-1.1845206,0.124224864
12,-1.1845206,0.124224864
13,-1.1845206,0.124224864
14,-1.1845206,0.124224864
15,-1.1845206,0.124224864
16,-0.7877245,0.25023863
17,-0.7877245,0.25023863
18,-0.7877245,0.25023863
19,-0.7877245,0.25023863
20,-0.7877245,0.25023863
21,-0.7877245,0.25023863
22,-0.7877245,0.25023863
23,0.024623042,-0.5621093
24,-0.7877245,0.25023863
25,-1.1845206,0.124224864
26,-1.3152232,-0.00647767
27,-1.3152232,-0.00647767
28,-1.3152232,-0.00647767
29,-1.3152232,-0.00647767
30,-1.3152232,-0.00647767
31,-1.3152232,-0.00647767
32,-1.3152232,-0.00647767
33,-1.3152232,-0.00647767
34,-1.3152232,-0.00647767
35,-1.3152232,-0.00647767
36,-1.3152232,-0.00647767
37,-1.3152232,-0.00647767
38,-1.3152232,-0.00647767
39,-1.3152232,-0.00647767
40,-1.3152232,-0.00647767
41,-1.3152232,-0.00647767
42,-1.3152232,-0.00647767
43,-1.3152232,-0.00647767
44,-1.3152232,-0.00647767
45,-1.3152232,-0.00647767
46,-1.3152232,-0.00647767
47,-1.3152232,-0.00647767
48,-1.3152232,-0.00647767
49,-1.3152232,-0.00647767
50,1.5930529,1.0063208
51,1.5930529,1.0063208
52,1.5930529,1.0063208
53,1.5930529,1.0063208
54,1.5930529,1.0063208
55,1.5930529,1.0063208
56,1.5930529,1.0063208
57,1.5930529,1.0063208
58,1.5930529,1.0063208
59,1.5930529,1.0063208
60,1.5930529,1.0063208
61,1.5930529,1.0063208
62,1.5930529,1.0063208
63,1.5930529,1.0063208
64,-0.5169419,-0.020544073
65,-0.5169419,-0.020544073
66,-0.5169419,-0.020544073
67,-0.5169419,-0.020544073
68,-0.5169419,-0.020544073
69,-0.5169419,-0.020544073
70,-0.5169419,-0.020544073
71,-0.5169419,-0.020544073
72,-0.5169419,-0.020544073
73,-0.5169419,-0.020544073
74,-0.5169419,-0.020544073
75,-0.5169419,-0.020544073
76,-1.3152232,-0.00647767
77,-1.3829188,0.06121802
78,-1.1845206,0.124224864
79,-1.0491295,-0.011166376
80,0.005868021,0.502266
81,0.547433,-0.03929927
82,1.6305631,-1.1224298
83,1.5930529,1.0063208
84,2.676183,-0.076809675
85,2.676183,-0.076809675
86,0.015245535,-0.029921647
87,0.015245535,-0.029921647
88,0.015245535,-0.029921647
89,0.015245535,-0.029921647
90,0.015245535,-0.029921647
91,0.015245535,-0.029921647
92,0.015245535,-0.029921647
93,0.015245535,-0.029921647
94,0.015245535,-0.029921647
95,0.015245535,-0.029921647
96,-1.3152232,-0.00647767
97,-1.0491295,-0.011166376
98,-0.7877245,0.25023863
99,-0.5169419,-0.020544073
100,0.015245535,-0.029921647
101,0.015245535,-0.029921647
102,1.5930529,1.0063208
103,2.676183,-0.076809675
104,-1.0491295,-0.011166376
105,-1.0491295,-0.011166376
106,2.676183,-0.076809675
107,2.676183,-0.076809675
108,2.676183,-0.076809675
109,2.676183,-0.076809675
110,2.676183,-0.076809675
111,2.676183,-0.076809675
112,2.676183,-0.076809675
113,2.676183,-0.076809675
114,2.676183,-0.076809675
115,2.676183,-0.076809675
116,2.676183,-0.076809675
117,2.676183,-0.076809675
118,2.676183,-0.076809675
119,-1.0491295,-0.011166376
120,-1.0491295,-0.011166376
121,-1.0491295,-0.011166376
122,-1.0491295,-0.011166376
123,-1.0491295,-0.011166376
124,-1.0491295,-0.011166376
125,-1.0491295,-0.011166376
126,-1.0491295,-0.011166376
127,-1.0491295,-0.011166376
128,-1.0491295,-0.011166376
129,-1.0491295,-0.011166376
130,-1.0491295,-0.011166376
131,-1.3152232,-0.00647767
132,-1.3152232,-0.00647767
133,-1.3152232,-0.00647767
134,-1.3152232,-0.00647767
135,-1.3152232,-0.00647767
136,-1.3152232,-0.00647767
137,-1.3152232,-0.00647767
138,-1.3152232,-0.00647767
139,-1.3152232,-0.00647767
140,-1.3152232,-0.00647767
141,-1.3152232,-0.00647767
142,-1.3152232,-0.00647767
143,-1.3152232,-0.00647767
144,-1.3152232,-0.00647767
145,-1.3152232,-0.00647767
146,-1.3152232,-0.00647767
147,-1.3152232,-0.00647767
148,-1.3152232,-0.00647767
149,-1.3152232,-0.00647767
150,-1.3152232,-0.00647767
151,-1.3152232,-0.00647767
152,-1.3152232,-0.00647767
153,-1.3152232,-0.00647767
154,-1.3152232,-0.00647767
155,1.5930529,1.0063208
156,1.5930529,1.0063208
157,1.5930529,1.0063208
158,1.5930529,1.0063208
159,1.5930529,1.0063208
160,1.5930529,1.0063208
161,1.5930529,1.0063208
162,1.5930529,1.0063208
163,1.5930529,1.0063208
164,1.5930529,1.0063208
165,1.5930529,1.0063208
166,1.5930529,1.0063208
167,1.5930529,1.0063208
168,1.5930529,1.0063208
